,
Naziv,Sifra
"ABS BIJELI 22X0,8 BIJELA GLATKA",860
ADHESIVE 15/1 KG - LJEPILO ZA SPUŽVU,937
Amortizer 1200 N,49
Amortizer 280 N m,43
Amortizer 450 N S,76
Amortizer 750,54
Aparat za traku,1081
Aplikator za selotep htc 580,471
BIG JAPON MECHANISM,935
BIG ŠLIC TABLA 2005X260X100 2T,884
BIG TABLA 210X2150 2T,885
Biger kliješta 8 Kosm,632
BIT MIX PH2 PZ2 PH3 PZ2 PZ1 B,466
Bit PH2 25 mm smith B,465
Borer za metal 10 mm B,464
Borer za metal 8 mm  B,473
Brezon vijak M8x8,386
Bukova daska 25 mm L,11
Čelični ekser ST 25 za bazu,391
Čičak 20mm 25m Bijeli/Crni Tvrdi/Mehki P,64
Crijevo za zrak 5x8,1076
"Daska 24 mm L - 3 m, suha",958
"Daska 24mm - 3m, suha#",809
Daska Jelova,276
Drawer Slide 45 mm T=1.0x1.0x1.2mm P,243
Drvena nogica AMOUR 15 cm crna R,45
DRVENA NOGICA AMOUR 17 CM (170X60/40) - CRNA,40
Drvena nogica VAL 120X60/47,47
Drvena nogica VINKLO 150x150/35 crna,288
Drvena nogica VINKLO 150x150x55 crna,115
DRVENA POMOĆNA NOGICA 170X40X40 crna,48
Dugmad PVC 32 1/144,999
Dugmad za presvlačenje 36 1/500 P,326
DUGME SA EKSEROM ALUMINIJUM KAPSULE 32-H 17 GULER 500/1,1015
DUGME SA ZAKAČKOM ALUM/KAPSULE BO 32 AB6 500/1,1016
Dupli mehanizam za rukonaslon,525
"Dvostrana iverica 210x280x0,8 mm",494
Džepičasto jezgro 056x190x12 (67.120.4.180.00.0.0000) 09x30,500
Džepičasto jezgro 066x190x12 (67.120.4.180.00.0.0000) 11x30,501
Džepičasto jezgro 106x188x14 NY,329
Džepičasto jezgro 144x184x15 (65.150.4.180.00.0.0000) 24x29,502
Džepičasto jezgro 144x184x18 (65.180.4.180.00.0.0000) 24x29,503
Džepičasto jezgro 164x184x15(65.150.4.180.00.0.0000) 27x29,504
Džepičasto jezgro 164x184x18 (65.180.4.180.00.0.0000) 27x29,505
Džepičasto jezgro 184x144x14 (28x24) X2 RET,828
Džepičasto jezgro 184x144x18 (28X24) RETX2,797
"Džepičasto jezgro 184x164x14 (28x27) 1,8mm",827
Džepičasto jezgro 184x164x18 (28x27) RETX2,952
"Džepičasto jezgro 188x108x14 (28x17) 1,8 mm A",478
"Džepičasto jezgro 188x128x14 (28x20) 1,8 mm A",479
"Džepičasto jezgro 188x148x14 (28x24) 1,8 mm A",101
"Džepičasto jezgro 188x148x18 (28X24) 1,88 mm A",4
"Džepičasto jezgro 188x168x14 (28x27) 1,88 mm A",99
"Džepičasto jezgro 188x168x18 (28x27) 1,88 mm A",356
"Džepičasto jezgro 188x56x12 (28x9) 1,8 mm A",100
Džepičasto jezgro 188x66x12 (29x11) x2 RTX,1212
"Džepičasto jezgro 188x68x12 (28x11) 1,88 mm A",98
Eksauting presa,402
ELASTIC BAND 5 CM 100/1,934
Elektrostatična farba u prahu,522
Farba - EP 9005 Pješčana struktura,789
Filc 900 gr,498
Filc tvrdi 500 gr/m 210x2500,14
"Folija (3800x0,08) RE NP",85
"Folija transparent polucrijevo 3000x0,08 mm/rec",795
HDF BIJELI 2800X2070X3 MM,893
HDF SIROVI 2800X2070X3 MM,894
Iver bijeli 5x50 L-L,799
"Iver vijak 5,0x30 cink T",328
"Iver vijak 5,0x40 cink T",213
Iver vijak 5x5 500/1,840
"Iver vijak JD 79/67,  5,0x60 cink",234
IVERICA 16MM 2800-2070 I KLASA,810
IVERICA 2800X2070X16 MM IT,897
IVERICA BIJELA 110 SM 2800X2070X16 MM,858
"Jednostrana iverica 210x280x0,8 mm",493
Kantovanje,193
KARTON BIG ŠLIC TABLA 2800X260X100 E2T,928
KARTON BIG TRAKA 180X2300 T2Š,929
"Karton ploča 14/kg 1,5 mm 20 kom",898
Karton za bazu 48x72,528
Karton za bazu 90x200,527
Karton za uzglavlje 30x300,529
Keder za tapaciranje,1273
KLAMERICA 14/35 (10.000) - PAK,702
KLAMERICA 14/35 PAK 10000/1,34
Klamerica 14/50 (10 mila),249
Klamerica 380/10 delta 10.000/1 M,32
Klamerica 80/10,1134
Klamerica Staples 380/10 (10.000) - PAK,703
Klamerica staples 380/14 (10.000) - PAK,701
Klamerica staples 380/14 B,33
Klamerice 8006/8010 CF,961
Klamerice 90/35,472
Klizač 7 N/L 1/100 p,189
Klizač teleskopski 45x40 M768-3,604
Klizač za uzglavlje 19cm,390
Konac - obućarski (13021),592
Konac - svileni,761
Konac 36,17
Konac 40/2 5000 YDS Boja,705
Konac 80 (5000yds) bijeli,15
Konac obućarski,886
Konac pamučni 40/3 5000 YDS,274
Konac svileni 30 P,16
"Konac svileni 30,40 P",216
Konac voštani 0371-0929 250 D/16,800
Konac za štepanje 20.000 mt,418
Konac za štepanje 40 DURATEX (3000m),1088
Konac za štepanje 60 DURATEX (5000m),1089
Konac za štepanje 70 DURATEX (17000m),1090
Konac za štepanje 80 (20.000 mt),419
Konac za štepanje 90 DURATEX (15000m),1087
Kreda - Krojačka 1/10,760
Kutija za pakovanje 380x280x140 N,179
LATO LEŽAJ FORMA 120X200 C,342
Lato Ležaj forma 180x200 C,880
"Lepenka kartonska 1,2 mm 72,0x103,0 cm T",89
Leptir matica M8 cinkovana DIN 315 T,284
Leptir matica M8 PVC,387
Leptir navrtka din315 M6 100/1,594
Leptir navrtka din315 M8 100/1,595
Lesonit bijeli 2800x2070x3 mm B1,198
Lesonit bijeli 3 mm B,37
"Lesonit sirovi 2,8x2,07 B",41
Lesonit Sirovi 2800x2070x3 mm B1,197
"LETVA 5X2,4",626
Ljepilo intercoll 1718 1/170 S,56
Ljepilo za drvo Vinavil 2252 30/1 K,84
Ljepilo za drvo Vinavil 2252 50/1 K,86
Ljepilo za spužvu,398
Ljepljiva traka 48x66 Prozirna/Solvent L (KOM),30
"M. Vijak din 933 kv 5,8 8x25",1158
M. Vijak din 965 6x20,756
"M. Vijak din933 kv5,8 8x30",600
"M. Vijak din933 kv5,8 8x40",599
M. Vijak din965 5x30,601
M. Vijak din965 5x40 100/1,597
M. Vijak din965 6x25,598
Madrac platno  50021973 (280 gr) AT,424
Madrac platno 10001632 75 gr,1204
Madrac platno 10008386 (65 gr) +AT10001632 75 gr,427
Madrac platno 10008388 (65 gr) AT,428
Madrac platno 10010707 235 gr,1205
Madrac platno 200 gr 50022325,521
Madrac platno 280 gr 50022324,520
Madrac platno 321.08396.001.01 (280 gr) AT,184
Madrac platno 50015679 (180 gr) AT,426
Madrac platno 50016161 (190 gr) AT,423
Madrac platno 50018448 280gr,866
Madrac platno 50021013 (180 gr) AT,425
Madrac platno 50021965 (280 gr) AT,422
Madrac platno 50021974 (220 gr) AT,421
Madrac platno 50021976 (240 gr) AT,420
Madrac platno 50022741 280gr,865
Madrac platno RUŽA,72
Magnetni držač bita 150mm,470
Makaze (10),706
Makaze 8,605
"Makaze 9,3/4 0330-0010",762
Makaze za bazu,384
Mašina/testera za rezanje profila,380
"Mašinac 8x25-M. Vijak din 933 kv 5,8",389
Masni konac,1274
Matica M6,396
Matica obična M8 T,801
MEDIJAPAN 2800X2070X3 AK,841
Mehanizam - Škara Sanduk srednji EXSAN (Makaze za krevete) S,66
Mehanizam za garnituru,524
Mehanizam za leđa garniture L24,526
Mehanizam za leđa garniture L28,523
Mehanizam za leđa L22,383
Mehanizam za leđa L26,414
Mehanizam-makaze za bazu DELUX,1082
Metalna nogica STS-D012 BLACK 150MM STICK B,773
Metalna ručka za bazu,531
"Metalni element 9,5 cm za nogice",1091
"Metalni profil 20x20x0,8 mm",415
Metalni profili 20x30x1 mm,416
Metalni profili 30x20x1 - hladna traka (6000),814
Metalni ram + iverica 100 x 200,1
Metalni ram + iverica 120x200,462
Metalni ram + iverica 80 x 200,2
Metalni ram + iverica 90 x 200,3
Metalni tiket sa ekserom za bazu fi 40 mm,448
Metar 3m M2407-1,629
Metar 5m M2407-2,630
Motor OK76458+DW9934+OK53996,496
Motor OK81295+DW9334HD24+OK53996+OK3.00.402.026.30,495
Najlon za pakovanje 155x8+8x170 100 mic,1207
Najlon za pakovanje 155x8+8x190 100 mic,1208
Najlon za pakovanje baze 80x16+16x245 100 mic,873
Najlon za pakovanje baze 90x16+16x245 100 mic,874
Najlon za pakovanje madraca 160x15+15x240 100mic,867
Najlon za pakovanje madraca 160x17+17x245 100mic,868
Najlon za pakovanje madraca 160x19+19x250 100mic,869
Najlon za pakovanje madraca 180x15+15x240 100mic,870
Najlon za pakovanje madraca 180x17+17x245 100mic,871
Najlon za pakovanje madraca 180x19+19x250 100 mic,872
Najlon za pakovanje uzglavlja 170x8+8x150 100 mic,875
