,,,
ZALIHA  ŠTOFOVI 30.3.26,,,
,,,
,,,
naziv,šifra,JM,stanje
Štof Adventure 23,1143,m,8.00
Štof Alhambra 101 S,206,m,131.20
Štof Almeria 103 (Bari 102) SE,248,m,8.00
Štof Almeria 108 (Bari 109) SE,283,m,80.40
Štof Amsterdam 103,209,m,0.00
Štof Amsterdam 105,120,m,19.00
Štof Amsterdam 110,215,m,16.00
Štof Aurum 107,879,m,161.30
Štof Aurum 126,63,m,0.00
Štof Bari 104,1238,m,10.00
Štof Bari 106,612,m,3.50
Štof Bari 110,330,m,109.10
Štof Barrel 09,960,m,21.00
Štof Camel 002,699,m,16.00
Štof Camel 102,121,m,"-2,570.58"
Štof Camel 103,615,m,193.00
Štof Camel 105,912,m,15.00
Štof Camel 118,616,m,157.20
Štof Camel 135,698,m,15.51
Štof Camel 200,236,m,0.01
Štof Castel 15,344,m,25.00
Štof Castel 20,1295,m,30.00
Štof Castel 74,377,m,3.50
Štof Castel 93,575,m,51.60
Štof Cloud 03,747,m,67.10
Štof Cloud 33,1067,m,15.00
Štof Cloud 39,978,m,5.00
Štof Cloud 60,748,m,0.00
Štof Cloud 81,572,m,23.70
Štof Cloud 83,854,m,7.80
Štof Cloud 84,1230,m,15.00
Štof Cloud 87,790,m,13.00
Štof Cloud 91,1065,m,27.30
Štof Cremona 02,345,m,51.00
Štof Cremona 81,1296,m,9.00
Štof ELEGANT WISH 02,1297,m,45.30
Štof Europa 103 S,79,m,0.00
Štof Ferrum 102 AL,459,m,163.10
Štof Gusto 09,1338,m,12.00
Štof Helena 103,275,m,249.00
Štof Helena 118,277,m,116.20
Štof Helena 135,82,m,26.00
Štof Helena 34,191,m,122.20
Štof Helena 79,611,m,361.50
Štof Jasmine 24,625,m,41.00
Štof Jupiter 106,697,m,10.00
Štof Landscape 95,1149,m,15.00
Štof Letto 11,509,m,32.00
Štof Loris 01,580,m,39.50
Štof Loris 05,305,m,40.00
Štof Loris 09,354,m,30.00
Štof Loris 14,355,m,8.00
Štof Loris 16,9,m,20.00
Štof Loris 39,490,m,0.00
Štof Loris 77,842,m,8.01
Štof Loris 79,351,m,7.50
Štof Loris 90,117,m,59.10
Štof Lotus 16,432,m,5.00
Štof Luis 16,378,m,9.00
Štof Luis 85,1239,m,3.00
Štof MALMO NEW 05,365,m,15.00
Štof MALMO NEW 90,620,m,56.50
Štof MALMO NEW 94,480,m,46.00
Štof MALMO NEW 96,368,m,11.01
Štof Matt Velvet 06,218,m,322.00
Štof Matt Velvet 08,217,m,388.60
Štof Matt Velvet 09,6,m,167.80
Štof Matt Velvet 29,855,m,56.10
Štof Matt Velvet 34,750,m,73.10
Štof Matt Velvet 38,749,m,24.80
Štof Matt Velvet 61,252,m,48.50
Štof Matt Velvet 73,483,m,77.60
Štof Matt Velvet 74,24,m,8.00
Štof Matt Velvet 77,10,m,21.50
Štof Matt Velvet 79,27,m,0.00
Štof Matt Velvet 83,350,m,10.00
Štof Matt Velvet 85,343,m,110.20
Štof Matt Velvet 93,349,m,40.00
Štof Matt Velvet 97,211,m,65.90
Štof Mirage 102 S,1150,m,27.00
Štof MISTERIO 03,980,m,149.21
Štof MISTERIO 04,519,m,696.80
Štof MISTERIO 14,981,m,23.00
Štof MISTERIO 72,982,m,23.01
Štof MISTERIO 80,983,m,101.61
Štof MISTERIO 82,984,m,51.01
Štof MISTERIO 90,1068,m,37.50
Štof Moca 10,862,m,221.00
Štof Moly 03,945,m,8.00
Štof Moly 37,946,m,8.01
Štof Monolith 02,20,m,51.10
