sifra proizvoda,naziv proizvoda,opis,dimenzije,tip,grupa artikla,jedinica mjere,neaktivan,valuta,dio,dimenzije dijela,napomene dijela,naziv koraka,odjel,procijenjeno vrijeme,instrukcije,sifra sirovine,naziv sirovine,količina,komada,Duzina,Sirina,Visina,kantiranje,cijena bez PDV,procenat PDV
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,Stolari,,,494,"Dvostrana iverica 210x280x0,8 mm",3.73,2,186.5,78,0.8,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,Stolari,,,493,"Jednostrana iverica 210x280x0,8 mm",1,2,200,25,0.8,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,Stolari,,,493,"Jednostrana iverica 210x280x0,8 mm",3.88,2,194,84,0.8,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,Stolari,,,493,"Jednostrana iverica 210x280x0,8 mm",1.8,2,90,25,0.8,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,Stolari,,,493,"Jednostrana iverica 210x280x0,8 mm",0.45,2,125,18,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,Stolari,,,493,"Jednostrana iverica 210x280x0,8 mm",1.008,1,160,63,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,Stolari,,,897,Sirova iverica  16 mm B,2.5,1,125,200,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,Stolari,,,897,Sirova iverica  16 mm B,0.24,2,200,6,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,Stolari,,,897,Sirova iverica  16 mm B,0.16,2,200,4,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,Stolari,,,897,Sirova iverica  16 mm B,0.375,5,125,6,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,415,"METALNI PROFILI 20X20X0,8",7.85,10,78.5,20,20,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,415,"METALNI PROFILI 20X20X0,8",5.94,30,19.8,20,20,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,415,"METALNI PROFILI 20X20X0,8",6.64,8,83,20,20,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,415,"METALNI PROFILI 20X20X0,8",7.96,4,199,20,20,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,415,"METALNI PROFILI 20X20X0,8",3.4,4,85,20,20,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,METALNI PROFILI 20X30X1,1.57,2,78.5,20,30,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,METALNI PROFILI 20X30X1,9.09,2,454.5,20,30,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,METALNI PROFILI 20X30X1,3.32,4,83,20,30,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,METALNI PROFILI 20X30X1,7.96,4,199,20,30,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,Stolari,,,232,SPUŽVA T-25,0.78,1,165,63,3,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,Stolari,,,232,SPUŽVA T-25,0.17,2,125,18,3,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,Stolari,,,303,Spužva VH 2538 SP,1.5642,2,198,158,2,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,Stolari,,,303,Spužva VH 2538 SP,1.5642,2,198,158,2,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,Stolari,,,303,Spužva VH 2538 SP,1.5642,2,198,158,2,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,Stolari,,,388,Stolna matica M8,28,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,Stolari,,,31,Streč folija 23my 5kg,0.07,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,Stolari,,,1187,Štancana kutija - Kartonski poklopac samosklopivi manji/veći,4,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,Stolari,,,366,štof ,2,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,Stolari,,,366,ŠTOF  NEVE,3,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,Stolari,,,862,ŠTOF MOCA 10,1.3,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,Stolari,Stolari,,,513,Termo vata (filc) 100 gr (210) A,0.357,2,210,170,0.1,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,Stolari,,,395,Torban 6x40,8,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,Stolari,,,1131,Valoviti karton BIGOVANA TRAKA 250X3000,3,,,,,,,17
