"Demo Company d.o.o.
76100 Brčko, Brod bb
JIB: 4600471110010   PDV: 600471110002
žiro-račun: 
",,,,,,
txtNazivSkladista,txtNazivKategorijeArtikla,RedniBroj,Sifra,NazivArtikla,JedinicaMjere,KOLICINA
Sirovine,,,,,,
,sirovina,,,,,
,,5,860,"ABS BIJELI 22X0,8 BIJELA GLATKA",m,125.00
,,6,937,ADHESIVE 15/1 KG - LJEPILO ZA SPUŽVU,kg,18.80
,,7,49,Amortizer 1200 N,kom,240.00
,,8,76,Amortizer 450 N S,kom,535.00
,,9,54,Amortizer 750,kom,"4,722.00"
,,10,1081,Aparat za traku,kom,10.00
,,11,386,Brezon vijak M8x8,kom,"10,000.00"
,,12,11,Bukova daska 25 mm L,m3,0.00
,,13,391,Čelični ekser ST 25 za bazu,kom,37.20
,,14,64,Čičak 20mm 25m Bijeli/Crni Tvrdi/Mehki P,m,"2,729.04"
,,15,1076,Crijevo za zrak 5x8,kom,1.00
,,16,958,"Daska 24 mm L - 3 m, suha",m3,-0.02
,,17,809,"Daska 24mm - 3m, suha#",m3,18.22
,,18,276,Daska Jelova,m3,0.00
,,19,45,Drvena nogica AMOUR 15 cm crna R,kom,206.00
,,20,40,DRVENA NOGICA AMOUR 17 CM (170X60/40) - CRNA,kom,940.00
,,21,47,Drvena nogica VAL 120X60/47,kom,100.00
,,22,288,Drvena nogica VINKLO 150x150/35 crna,kom,100.00
,,23,115,Drvena nogica VINKLO 150x150x55 crna,kom,150.00
,,24,48,DRVENA POMOĆNA NOGICA 170X40X40 crna,kom,500.00
,,25,1015,DUGME SA EKSEROM ALUMINIJUM KAPSULE 32-H 17 GULER 500/1,kom,"1,500.00"
,,26,1016,DUGME SA ZAKAČKOM ALUM/KAPSULE BO 32 AB6 500/1,kom,350.00
,,27,494,"Dvostrana iverica 210x280x0,8 mm",m2,"2,005.80"
,,28,500,Džepičasto jezgro 056x190x12 (67.120.4.180.00.0.0000) 09x30,kom,128.00
,,29,501,Džepičasto jezgro 066x190x12 (67.120.4.180.00.0.0000) 11x30,kom,13.00
,,30,502,Džepičasto jezgro 144x184x15 (65.150.4.180.00.0.0000) 24x29,kom,10.00
,,31,503,Džepičasto jezgro 144x184x18 (65.180.4.180.00.0.0000) 24x29,kom,569.00
,,32,504,Džepičasto jezgro 164x184x15(65.150.4.180.00.0.0000) 27x29,kom,36.00
,,33,505,Džepičasto jezgro 164x184x18 (65.180.4.180.00.0.0000) 27x29,kom,281.00
,,34,1212,Džepičasto jezgro 188x66x12 (29x11) x2 RTX,kom,40.00
,,35,402,Eksauting presa,kom,1.00
,,36,522,Elektrostatična farba u prahu,kg,750.00
,,37,498,Filc 900 gr,kg,"4,920.96"
,,38,14,Filc tvrdi 500 gr/m 210x2500,kg,0.00
,,39,85,"Folija (3800x0,08) RE NP",kg,0.00
,,40,795,"Folija transparent polucrijevo 3000x0,08 mm/rec",kg,566.00
