RADNI NALOG,,35,NEEA HOME d.o.o.,,17.03.26,Brčko,09.03.26,,,
,,RN,,,,,,,,
,,,,,,,,,,
RB,SERISKI BROJ,NAZIV,KOLICINA,SADRZAJ,STOF,NOGICE,NAPOMENA,DATUM UTOVARA,BAR KOD,
1,20936,BAREL 160X200 baza + uzglavlje / | kom | 641,1,BAZA+UZGLAVLJE,Štof Matt Velvet 08 | m | 217,|  |,,,2635786,2635786
2,20936,BAREL 160X200 madrac / | kom | 642,1,MADRAC,Štof Matt Velvet 08 | m | 217,|  |,,,2635787,2635787
3,20995,CARIBI 160X200 baza  + uzglavlje / | kom | 645,1,BAZA+UZGLAVLJE,Štof Today 03 | m | 219,|  |,,,2635788,2635788
4,20996,CARIBI 160X200 baza  + uzglavlje / | kom | 645,1,BAZA+UZGLAVLJE,Štof Today 03 | m | 219,|  |,,,2635790,2635790
5,20995,CARIBI 160X200 madrac / | kom | 646,1,MADRAC,Štof Today 03 | m | 219,|  |,,,2635789,2635789
6,20996,CARIBI 160X200 madrac / | kom | 646,1,MADRAC,Štof Today 03 | m | 219,|  |,,,2635791,2635791
7,20991,CLOUD 160X200 krevet + madrac | kom | 583,1,BAZA+UZGLAVLJE+MADRAC,Štof MISTERIO 04 | m | 519,|  |,,,2635798,2635798
8,20982,CLOUD 160X200 krevet + madrac | kom | 583,1,BAZA+UZGLAVLJE+MADRAC,Štof MISTERIO 04 | m | 519,|  |,,,2635795,2635795
9,20989,CLOUD 160X200 krevet + madrac | kom | 583,1,BAZA+UZGLAVLJE+MADRAC,Štof MISTERIO 04 | m | 519,|  |,,,2635796,2635796
10,20990,CLOUD 160X200 krevet + madrac | kom | 583,1,BAZA+UZGLAVLJE+MADRAC,Štof MISTERIO 04 | m | 519,|  |,,,2635797,2635797
11,20889,GALIA 160X200 krevet + madrac | kom | 321,1,BAZA+UZGLAVLJE+MADRAC,Štof Helena 79 | m | 611,|  |,,,2635807,2635807
12,20914,GALIA 160X200 krevet + madrac | kom | 321,1,BAZA+UZGLAVLJE+MADRAC,Štof Royal 27 (Helena 108) | m | 68,|  |,,,2635802,2635802
13,20876,GALIA 160X200 krevet + madrac | kom | 321,1,BAZA+UZGLAVLJE+MADRAC,Štof Royal 27 (Helena 108) | m | 68,|  |,,,2635801,2635801
14,20897,GALIA 180X200 krevet + madrac | kom | 322,1,BAZA+UZGLAVLJE+MADRAC,Štof Helena 79 | m | 611,|  |,,,2635808,2635808
15,20861,GALIA 180X200 krevet + madrac | kom | 322,1,BAZA+UZGLAVLJE+MADRAC,Štof Royal 27 (Helena 108) | m | 68,|  |,,,2635799,2635799
16,20867,HYPNOZE 160X200 krevet + madrac NOVO | kom | 1321,1,BAZA+UZGLAVLJE+MADRAC,Štof Matt Velvet 85 | m | 343,|  |,,,2635793,2635793
17,20784,NOA 90X200 krevet + madrac | kom | 136,1,BAZA+UZGLAVLJE+MADRAC,Štof Riviera 56 | m | 1322,|  |,,,2635794,2635794
18,21011,NORMA 160X200 krevet + madrac-NOVO | kom | 1310,1,baza+uzglavlje+madrac,Štof Puente 06 | m | 1145,|  |,,,26351328,26351328
