sifra proizvoda,naziv proizvoda,opis,dimenzije,tip,grupa artikla,jedinica mjere,neaktivan,valuta,dio,dimenzije dijela,napomene dijela,naziv koraka,odjel,procijenjeno vrijeme,instrukcije,sifra sirovine,naziv sirovine,količina,komada,Duzina,Sirina,Visina,kantiranje,cijena bez PDV,procenat PDV
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,54,Amortizer 750 S,4,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,386,Brezon vijak M8x8,2,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,391,Čelični ekser ST 25 za bazu,0.05,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,494,"Dvostrana iverica 210x280x0,8 mm",3.73,2,186.5,78,0.8,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,503,Džepičasto jezgro 144x184x18  24x29,1,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,498,Filc 900 gr,2.816,1,198,158,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,493,"Jednostrana iverica 210x280x0,8 mm",1,2,200,25,0.8,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,493,"Jednostrana iverica 210x280x0,8 mm",3.88,2,194,84,0.8,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,Stolari,STROLARI,,,493,"Jednostrana iverica 210x280x0,8 mm",1.8,2,90,25,0.8,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,493,"Jednostrana iverica 210x280x0,8 mm",0.45,2,125,18,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,493,"Jednostrana iverica 210x280x0,8 mm",1.008,1,160,63,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,1132,Karton za bazu 90x200,4,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,,,,,1273,Keder za tapaciranje,5,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,,,,,34,KLAMERICA 14/35 PAK 10000/1,0.2,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,,,,,32,Klamerica 380/10 delta 10.000/1 M,2,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,390,Klizač za uzglavlje 19cm,2,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,387,Leptir matica M8 PVC,4,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,398,Ljepilo za spužvu,0.007,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,398,Ljepilo za spužvu,0.007,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,398,Ljepilo za spužvu,0.007,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,427,Madrac platno 10008386 (65 gr) AT,1.7,,,,,,,17
