sifra proizvoda,naziv proizvoda,sifra sirovine,naziv sirovine,jedinica mjere sirovine,količina,jedinica mjere,dužina,širina,visina,komada,kantiranje
122,Palermo 180x200,858,Bijela iverica 16mm,m2,0.7562,,199,19,,2,1
122,Palermo 180x200,858,Bijela iverica 16mm,m2,0.32604,,85.8,19,,2,1
122,Pluton 160x200,858,Bijela iverica 16mm,m2,0.7562,,199,19,,2,1
122,Pluton 160x200,858,Bijela iverica 16mm,m2,0.28804,,75.8,19,,2,1
122,Palermo 180x200,37,Bijeli lesonit 3mm,m2,3.5422,,199,89,,2,
122,PALERMO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.01696,,,,,,
122,PALERMO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.01,,,,,,
122,PALERMO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.00864,,,,,,
122,PALERMO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.004209,,,,,,
122,PALERMO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0038,,,,,,
122,PALERMO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.00302,,,,,,
122,PALERMO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.003,,,,,,
122,PALERMO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0015,,,,,,
122,PALERMO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0015,,,,,,
122,PALERMO 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.00016,,,,,,
122,Palermo 180x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,1.209,,186,65,,1,
122,Palermo 180x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.6538,,186.8,35,,1,
122,Palermo 180x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.304,,190,8,,2,
122,Palermo 180x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.20288,,126.8,8,,2,
122,Palermo 180x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.093,,186,5,,1,
122, Palermo 180x200,302,S-20,kg,0.6,Uzglavlje,200,75,2,1,
122, Palermo 180x200,302,S-20,kg,0.39552,Baza ,206,96,1,2,
122, Palermo 180x200,302,S-20,kg,0.0861,Baza ,205,21,1,2,
122, Palermo 180x200,302,S-20,kg,0.0399,Baza ,95,21,1,2,
122,Palermo 180x200,41,Sirovi lesnit 3mm,m2,3.5422,,199,89,,2,
122, Palermo 180x200,303,Spužva VA 4015 SP,kg,2.73,Madrac ,195,175,2,1,
122, Palermo 180x200,232,Spužva VH 2538 SP,kg,2.559375,Madrac ,195,175,3,1,
122, Palermo 180x200,232,Spužva VH 2538 SP,kg,1.7622,Madrac ,198,178,2,2,
122, Palermo 180x200,232,Spužva VH 2538 SP,kg,0.51975,Madrac ,198,15,7,2,
122, Palermo 180x200,232,Spužva VH 2538 SP,kg,0.4305,Madrac ,164,15,7,2,
122,PALERMO 180 x 200,13,Paspul Traka-Opšivna traka 40mm ,m,24,Madrac,,,,,
122,PALERMO 180 x 200,31,Streč folija 23my 5kg,rol,0.0518902891,Korpus(baza),,,,,
122,PALERMO 180 x 200,32,Klamerica 380/10 delta,milla,0.3,Uzglavlje,,,,,
122,PALERMO 180 x 200,33,Klamerica 380/14,milla,0.3,Sijeda,,,,,
122,PALERMO 180 x 200,33,Klamerica 380/14 B,milla,0.1,Uzglavlje,,,,,
122,PALERMO 180 x 200,33,Klamerica 380/14 B,milla,0.35,Korpus(baza),,,,,
122,PALERMO 180 x 200,34,Klamerica 14/35,milla,0.1,Korpus(baza),,,,,
122,PALERMO 180 x 200,34,Klamerica 14/35,milla,0.3,Sijeda,,,,,
122,PALERMO 180 x 200,34,Klamerice 14/35,milla,0.3,Uzglavlje,,,,,
122,PALERMO 180 x 200,39,Unit Matica,kom,8,Sijeda,,,,,
122,PALERMO 180 x 200,54,Amortizer 750 S,kom,4,Korpus(baza),,,,,
122,PALERMO 180 x 200,55,Termo vata 200 gr,kg,0.861,Madrac,210,205,0.2,1,
122,PALERMO 180 x 200,64,Čičak 20mm 25m ,m,0.1,Uzglavlje,,,,,
122,PALERMO 180 x 200,65,"Reteks 120 gr, 200 cm Art, Stichpond",m2,2.2568,Sijeda,182,62,,2,
