RADNI NALOG,47,COMFORT SP BANJA LUKA,,065593851 /066 678 841,22.03.26,BANJALUKA LAKTAŠI,23.03.26,,,
,,RN,,,,,,,,
,,,,,,,,,,
RB,SERISKI BROJ,NAZIV,KOLICINA,SADRZAJ,STOF,NOGICE,NAPOMENA,DATUM UTOVARA,BAR KOD,
1,,BUBBLE 160X200 BAZA + UZGLAVLJE | kom | 1233,1,BAZA+UZGLAVLJE,Štof Cremona 02 | m | 345,|  |,PUELLE 03 PROVJERIT SA MURATOM,,26471294,26471294
2,,CARMEN 160X200 madrac | kom | 709,1,MADRAC,Štof Storm 02 | m | 482,|  |,,,26471287,26471287
3,,CARMEN 160X200 madrac | kom | 709,1,MADRAC,Štof PERFECT HARMONY 02 | m | 348,|  |,,,26471303,26471303
4,,CARMEN 160X200 madrac | kom | 709,1,MADRAC,Štof Storm 09 | m | 1264,|  |,,,26471281,26471281
5,,CARMEN 160X200 madrac | kom | 709,1,MADRAC,Štof Letto 11 | m | 509,|  |,,,26471279,26471279
6,,CARMEN 160X200 madrac | kom | 709,1,MADRAC,Štof Letto 97 | m | 943,|  |,,,26471299,26471299
7,,CARMEN 160X200 madrac | kom | 709,1,MADRAC,Štof PERFECT HARMONY 04 | m | 488,|  |,,,26471285,26471285
8,,LINE 160X200 krevet | kom | 1404,1,BAZA+UZGLAVLJE,Štof PERFECT HARMONY 04 | m | 488,|  |,UZGLAVLJE KAO SA SLIKE,,26471284,26471284
9,,LINE 160X200 krevet | kom | 1404,1,BAZA+UZGLAVLJE,Štof Matt Velvet 08 | m | 217,|  |,JEFTINIJA OPCIJA,,26471300,26471300
10,,LUNA 160X200 madrac | kom | 737,1,MADRAC,Štof Cremona 02 | m | 345,|  |,,,26471295,26471295
11,,LUXURY 160X200 madrac | Kom | 1410,1,MADRAC,Štof Puente 80 | m | 843,|  |,,,26471297,26471297
12,,MURSAN 160X200 madrac | kom | 729,1,MADRAC,Štof Matt Velvet 08 | m | 217,|  |,,,26471301,26471301
13,,MURSAN 160X200 MADRAC | kom | 776,1,MADRAC,Štof Neve 03 | m | 1406,|  |,,,26471307,26471307
14,,MURSAN 160X200 MADRAC | kom | 776,1,MADRAC,Štof Neve 03 | m | 1406,|  |,,,26471305,26471305
15,,SILVER 160X200 krevet | Kom | 1521,1,BAZA+UZGLAVLJE,Štof PERFECT HARMONY 02 | m | 348,PVC BOHAM NOGICA 12CM CRNA | kom | 818,,,26471302,26471302
16,,SMART 160X200 krevet 4 kocke | kom | 1401,1,BAZA+UZGLAVLJE,Štof Letto 97 | m | 943,|  |,,,26471298,26471298
17,,SOFIA 160X200 krevet | kom | 1402,1,BAZA+UZGLAVLJE,Štof Neve 03 | m | 1406,PVC nogica sa navojem 12 cm crna KRUŠKA | kom | 532,,,26471304,26471304
18,,SUR 120X200 krevet | Kom | 1413,1,BAZA+UZGLAVLJE,Štof Cloud 87 | m | 790,|  |,,,26471275,26471275
19,,SUR 160X200 krevet | Kom | 1519,1,BAZA+UZGLAVLJE,Štof PERFECT HARMONY 02 | m | 348,|  |,,,26471290,26471290
20,,SUR 160X200 krevet | Kom | 1519,2,BAZA+UZGLAVLJE,Štof Letto 11 | m | 509,|  |,,,26471277,26471277
21,,SUR 160X200 krevet | Kom | 1519,1,BAZA+UZGLAVLJE,Štof Storm 09 | m | 1264,|  |,,,26471280,26471280
22,,SUR 160X200 krevet | Kom | 1519,1,BAZA+UZGLAVLJE,Štof Letto 97 | m | 943,|  |,,,26471282,26471282
23,,SUR 160X200 krevet | Kom | 1519,1,BAZA+UZGLAVLJE,Štof Storm 02 | m | 482,|  |,,,26471286,26471286
24,,SUR 160X200 krevet | Kom | 1519,1,BAZA+UZGLAVLJE,Štof VEGA 02 | m | 1416,|  |,,,26471288,26471288
25,,SUR 160X200 krevet | Kom | 1519,2,BAZA+UZGLAVLJE,Štof Storm 02 | m | 482,|  |,,,26471292,26471292
26,,SUR 180X200 krevet | Kom | 1412,1,BAZA+UZGLAVLJE,Štof Storm 02 | m | 482,|  |,,,26471273,26471273
27,,TRIESTE 160X200 krevet | Kom | 1520,1,BAZA+UZGLAVLJE,Štof Puente 80 | m | 843,|  |,BOHEM CRNE/BAZA RADIUS,,26471296,26471296
28,,VERONA 160X200 madrac | kom | 717,1,MADRAC,Štof Letto 97 | m | 943,|  |,,,26471283,26471283
29,,VERONA 160X200 madrac | kom | 717,1,MADRAC,Štof PERFECT HARMONY 02 | m | 348,|  |,,,26471291,26471291
30,,VERONA 160X200 madrac | kom | 717,1,MADRAC,Štof Letto 11 | m | 509,|  |,,,26471278,26471278
31,,VERONA 160X200 madrac | kom | 717,2,MADRAC,Štof Storm 02 | m | 482,|  |,,,26471293,26471293
32,,VERONA 160X200 madrac | kom | 717,1,MADRAC,Štof Cloud 87 | m | 790,|  |,,,26471276,26471276
33,,VERONA 160X200 madrac | kom | 717,1,MADRAC,Štof VEGA 02 | m | 1416,|  |,,,26471289,26471289
34,,VERONA 180X200 madrac | kom | 719,1,MADRAC,Štof Storm 02 | m | 482,|  |,,,26471274,26471274
