RB,Modeli,Naziv,Sifra,opis sadrzaj,VRSTA,GRUPA,Vezani artikli sifra
558,ARES,ARES M 120X200 baza + uzglavlje /,1377,KREVET,Gotov proizvod,Metalni,1527
1544,ARES,ARES M 120X200 madrac/,1527,MADRAC,Gotov proizvod,Metalni,1377
456,ARES,ARES M 140X200 baza + uzglavlje /,1195,KREVET,Gotov proizvod,Metalni,1196
457,ARES,ARES M 140X200 madrac /,1196,MADRAC,Gotov proizvod,Metalni,1195
420,ARES,ARES M 160X200 baza,1153,BAZA,Gotov proizvod,Metalni,
393,ARES,ARES M 160X200 BAZA + UZGLAVLJE,1113,KREVET,Gotov proizvod,Metalni,
142,ARES,ARES M 160X200 baza + uzglavlje /,637,KREVET,Gotov proizvod,Metalni,1095
375,ARES,ARES M 160X200 LIJEVA BAZA /,1095,BAZA,Gotov proizvod,Metalni,637
485,ARES,ARES M 160X200 LIJEVA+DESNA BAZA /unijeti cijenu,1241,BAZA,Gotov proizvod,Metalni,1114
394,ARES,ARES M 160X200 MADRAC,1114,MADRAC,Gotov proizvod,Metalni,1241
143,ARES,ARES M 160X200 madrac /,638,MADRAC,Gotov proizvod,Metalni,
421,ARES,ARES M 160X200 UZGLAVLJE,1154,UZGLAVLJE,Gotov proizvod,Metalni,
477,ARES,ARES M 160X200 uzglavlje,1227,UZGLAVLJE,Gotov proizvod,Metalni,
395,ARES,ARES M 180X200 BAZA + UZGLAVLJE,1115,KREVET,Gotov proizvod,Metalni,1116
144,ARES,ARES M 180X200 baza + uzglavlje /,639,KREVET,Gotov proizvod,Metalni,640
396,ARES,ARES M 180X200 MADRAC,1116,MADRAC,Gotov proizvod,Metalni,1115
145,ARES,ARES M 180X200 madrac /,640,MADRAC,Gotov proizvod,Metalni,639
1545,ARES,ARES M 200x200 baza + uzglavlje,1561,KREVET,Gotov proizvod,Metalni,1562
1546,ARES,ARES M 200X200 madrac,1562,MADRAC,Gotov proizvod,Metalni,1561
321,ARES,ARES M 90X200 baza + uzglavlje /,1000,KREVET,Gotov proizvod,Metalni,1001
322,ARES,ARES M 90X200 madrac /,1001,MADRAC,Gotov proizvod,Metalni,1000
135,ATOS,ATOS D 160X200 krevet + madrac+latice,588,KREVET+MADRAC,Gotov proizvod,Metalni,
591,BARCELONA,BARCELONA M 120X200 baza + uzglavlje/,1421,KREVET,Gotov proizvod,Metalni,
587,BARCELONA,BARCELONA M 160X200 baza + uzglavlje,1417,KREVET,Gotov proizvod,Metalni,1418
560,BARCELONA,BARCELONA M 160X200 baza + uzglavlje UNIJETI CIJENU,1383,KREVET,Gotov proizvod,Metalni,
495,BARCELONA,BARCELONA M 160X200 krevet + madrac UNIJETI CIJENU,1253,KREVET+MADRAC,Gotov proizvod,Metalni,
588,BARCELONA,BARCELONA M 160X200 madrac,1418,MADRAC,Gotov proizvod,Metalni,1417
589,BARCELONA,BARCELONA M 180X200 baza + uzglavlje,1419,KREVET,Gotov proizvod,Metalni,1420
561,BARCELONA,BARCELONA M 180X200 krevet + madrac UNIJETI CIJENU,1384,KREVET+MADRAC,Gotov proizvod,Metalni,
590,BARCELONA,BARCELONA M 180X200 madrac,1420,MADRAC,Gotov proizvod,Metalni,1419
535,BARCELONA,BARCELONA M 90X200 krevet + madrac UNIJETI CIJENU,1351,KREVET+MADRAC,Gotov proizvod,Metalni,
