,,,,,,,
,,,SPISAK PROIZVODA 7.4.2026 PO SADRZAJU,,,,
RB,Id,Modeli,Naziv,Sifra,opis sadrzaj,VRSTA,GRUPA
1,128,PALERMO,PALERMO 180X200 krevet + madrac,122,KREVET+MADRAC,Gotov proizvod,Drveni
2,129,PLUTON,PLUTON 160X200 krevet + madrac,123,KREVET+MADRAC,Gotov proizvod,Drveni
3,130,AGRO,AGRO 180X200 krevet + madrac,124,KREVET+MADRAC,Gotov proizvod,Drveni
4,131,GRAND,GRAND 180X200 krevet + madrac,125,KREVET+MADRAC,Gotov proizvod,Drveni
5,133,ELBA,ELBA 160X200 krevet + madrac,127,KREVET+MADRAC,Gotov proizvod,Drveni
6,134,ALINA,ALINA 100X200 krevet + madrac,128,KREVET+MADRAC,Gotov proizvod,Drveni
7,135,PARIS,PARIS 160X200 krevet + madrac,129,KREVET+MADRAC,Gotov proizvod,Drveni
8,136,TAXIM,TAXIM 200X200 krevet + madrac,130,KREVET+MADRAC,Gotov proizvod,Drveni
9,137,WALL,WALL 120X200 krevet + madrac,131,KREVET+MADRAC,Gotov proizvod,Drveni
10,138,CANNES,CANNES 160X200 krevet + madrac,132,KREVET+MADRAC,Gotov proizvod,Drveni
11,139,GALILEO,GALILEO 180X200 krevet + madrac,133,KREVET+MADRAC,Gotov proizvod,Drveni
12,140,LERY,LERY 140X200 krevet + madrac,134,KREVET+MADRAC,Gotov proizvod,Drveni
13,141,NOA,NOA 180X200 krevet + madrac,135,KREVET+MADRAC,Gotov proizvod,Metalni
14,142,NOA,NOA 90X200 krevet + madrac,136,KREVET+MADRAC,Gotov proizvod,Drveni
15,143,PALERMO,PALERMO 160X200 krevet + madrac,137,KREVET+MADRAC,Gotov proizvod,Drveni
16,144,TAXIM,TAXIM 180X200 krevet + madrac,138,KREVET+MADRAC,Gotov proizvod,Drveni
17,145,COCO,COCO 160X200 krevet + madrac,139,KREVET+MADRAC,Gotov proizvod,Drveni
18,146,LERY,LERY 160X200 krevet + madrac,140,KREVET+MADRAC,Gotov proizvod,Drveni
19,147,GRAND,GRAND 140X200 krevet + madrac,141,KREVET+MADRAC,Gotov proizvod,Drveni
20,148,NOA,NOA 160X200 krevet + madrac,142,KREVET+MADRAC,Gotov proizvod,Drveni
21,149,FLOCUS,FLOCUS 160X200 krevet + madrac,143,KREVET+MADRAC,Gotov proizvod,Drveni
22,150,FLOCUS,FLOCUS 180X200 krevet + madrac,144,KREVET+MADRAC,Gotov proizvod,Drveni
23,151,KRK,KRK 180X200 krevet + madrac,145,KREVET+MADRAC,Gotov proizvod,Drveni
24,153,ALFA,ALFA 160X200 krevet + madrac,147,KREVET+MADRAC,Gotov proizvod,Drveni
25,154,MARINA,MARINA 160X200 krevet + madrac,148,KREVET+MADRAC,Gotov proizvod,Drveni
