VrstaFixDokument,RedniBroj,Datum,PartnerNaziv,PartnerSifra,ArtikalNaziv,ArtikalSifra,JedinicaMjere,Kolicina,FakturnaCijena,FakturnaVrijednost,DokumentVrijednost,DokumentTrosak,NabavnaCijena,NabavnaVrijednost
null,223,06.05.26,"HAB REPRO d.o.o., Brčko Distrikt BiH",101,Amortizer 450 N S,76,kom,100,2.06,206,578.06,0,2.06,206
null,223,06.05.26,"HAB REPRO d.o.o., Brčko Distrikt BiH",101,DUGME SA EKSEROM ALUMINIJUM KAPSULE 32-H 17 GULER 500/1,1015,kom,1500,0.03248,48.72,578.06,0,0.03248,48.72
null,223,06.05.26,"HAB REPRO d.o.o., Brčko Distrikt BiH",101,Klamerica 380/10 delta 10.000/1 M,32,Kom,40,3.8,152,578.06,0,3.8,152
null,223,06.05.26,"HAB REPRO d.o.o., Brčko Distrikt BiH",101,Makaze 8,605,kom,2,1.37,2.74,578.06,0,1.37,2.74
null,223,06.05.26,"HAB REPRO d.o.o., Brčko Distrikt BiH",101,Klamerica staples 380/14 B,33,kom,20,4.53,90.6,578.06,0,4.53,90.6
null,223,06.05.26,"HAB REPRO d.o.o., Brčko Distrikt BiH",101,KLAMERICA 14/35 PAK 10000/1,34,Kom,30,2.6,78,578.06,0,2.6,78
null,222,08.05.26,ISTRA BENZ PLIN BREZA,81,CO2 30 kg,1645,kg,360,1.03,370.8,370.8,0,1.03,370.8
null,221,07.05.26,MURSAN DIS TICARET,62,PVC zaštitnik (osigurač crveni),820,kom,1000,0.10757065,107.57065,46374.07882,206.88,0.1080505348,108.0505348
null,221,07.05.26,MURSAN DIS TICARET,62,"Metalni profil 20x20x0,8 mm",415,m,1482.96,0.7208146735,1068.939328,46374.07882,206.88,0.7240303091,1073.707987
null,221,07.05.26,MURSAN DIS TICARET,62,Makaze za bazu,384,set,1500,5.6327904,8449.1856,46374.07882,206.88,5.657918914,8486.878371
null,221,07.05.26,MURSAN DIS TICARET,62,Metalni profili 20x30x1 mm,416,m,360.13,1.121263604,403.8006618,46374.07882,206.88,1.126265688,405.6020621
null,221,07.05.26,MURSAN DIS TICARET,62,PVC držač za ivericu,822,kom,15000,0.02933745,440.06175,46374.07882,206.88,0.02946832768,442.0249151
null,221,07.05.26,MURSAN DIS TICARET,62,Pištolj za tapaciranje 80/16 AKD,1075,kom,3,181.4032325,544.2096975,46374.07882,206.88,182.2124928,546.6374784
null,221,07.05.26,MURSAN DIS TICARET,62,"Metalni profil 20x20x0,8 mm",415,m,1279.98,0.7208262974,922.6432442,46374.07882,206.88,0.7240419849,926.7592599
null,221,07.05.26,MURSAN DIS TICARET,62,Gumeni keder za tapaciranje 20x10x20,1641,m,25,1.9362717,48.4067925,46374.07882,206.88,1.944909627,48.62274067
null,221,07.05.26,MURSAN DIS TICARET,62,Metalni profili 20x30x1 mm,416,m,760.11,1.121274604,852.2920391,46374.07882,206.88,1.126276736,856.0942101
null,221,07.05.26,MURSAN DIS TICARET,62,PVC stoper (okrugli) za bazu,535,kom,10000,0.0391166,391.166,46374.07882,206.88,0.03929110357,392.9110357
