ArtikalNaziv,ArtikalSifra,JedinicaMjere,FakturnaCijena,TrenutnaKolicina,MinimalnaKolicina,Dobavljaci
"ABS BIJELI 22X0,8 BIJELA GLATKA",860,kom,,5.01,0,
ADHESIVE 15/1 KG - LJEPILO ZA SPUŽVU,937,kom,,0,0,
Amortizer 1200 N,49,kom,,0,0,
Amortizer 280 N m,43,kom,,0,0,
Amortizer 450 N S,76,kom,,0,0,
Amortizer 750,54,kom,,0,0,
Aparat za traku,1081,kom,,0,0,
Aplikator za selotep htc 580,471,kom,,0,0,
BIG JAPON MECHANISM,935,kom,,0,0,
BIG ŠLIC TABLA 2005X260X100 2T,884,kom,,0,0,
BIG TABLA 210X2150 2T,885,kom,,0,0,
Biger kliješta 8 Kosm,632,kom,,0,0,
BIT MIX PH2 PZ2 PH3 PZ2 PZ1 B,466,kom,,0,0,
Bit PH2 25 mm smith B,465,kom,,0,0,
Borer za metal 10 mm B,464,kom,,0,0,
Borer za metal 8 mm  B,473,kom,,0,0,
Brezon vijak M8x8,386,kom,,0,0,
Bukova daska 25 mm L,11,kom,,0,0,
Čelični ekser ST 25 za bazu,391,kom,,0,0,
Čičak 20mm 25m Bijeli/Crni Tvrdi/Mehki P,64,kom,,0,0,
Crijevo za zrak 5x8,1076,kom,,0,0,
"Daska 24 mm L - 3 m, suha",958,kom,,0,0,
"Daska 24mm - 3m, suha#",809,kom,,0,0,
Daska Jelova,276,kom,,0,0,
Drawer Slide 45 mm T=1.0x1.0x1.2mm P,243,kom,,0,0,
Drvena nogica AMOUR 15 cm crna R,45,kom,,0,0,
DRVENA NOGICA AMOUR 17 CM (170X60/40) - CRNA,40,kom,,0,0,
Drvena nogica VAL 120X60/47,47,kom,,0,0,
Drvena nogica VINKLO 150x150/35 crna,288,kom,,0,0,
Drvena nogica VINKLO 150x150x55 crna,115,kom,,0,0,
DRVENA POMOĆNA NOGICA 170X40X40 crna,48,kom,,0,0,
Dugmad PVC 32 1/144,999,kom,,0,0,
Dugmad za presvlačenje 36 1/500 P,326,kom,,0,0,
DUGME SA EKSEROM ALUMINIJUM KAPSULE 32-H 17 GULER 500/1,1015,kom,,0,0,
DUGME SA ZAKAČKOM ALUM/KAPSULE BO 32 AB6 500/1,1016,kom,,0,0,
Dupli mehanizam za rukonaslon,525,kom,,0,0,
"Dvostrana iverica 210x280x0,8 mm",494,kom,,0,0,
Džepičasto jezgro 056x190x12 (67.120.4.180.00.0.0000) 09x30,500,kom,,0,0,
Džepičasto jezgro 066x190x12 (67.120.4.180.00.0.0000) 11x30,501,kom,,0,0,
Džepičasto jezgro 106x188x14 NY,329,kom,,0,0,
Džepičasto jezgro 144x184x15 (65.150.4.180.00.0.0000) 24x29,502,kom,,0,0,
Džepičasto jezgro 144x184x18 (65.180.4.180.00.0.0000) 24x29,503,kom,,0,0,
Džepičasto jezgro 164x184x15(65.150.4.180.00.0.0000) 27x29,504,kom,,0,0,
Džepičasto jezgro 164x184x18 (65.180.4.180.00.0.0000) 27x29,505,kom,,0,0,
Džepičasto jezgro 184x144x14 (28x24) X2 RET,828,kom,,0,0,
Džepičasto jezgro 184x144x18 (28X24) RETX2,797,kom,,0,0,
"Džepičasto jezgro 184x164x14 (28x27) 1,8mm",827,kom,,0,0,
Džepičasto jezgro 184x164x18 (28x27) RETX2,952,kom,,0,0,
"Džepičasto jezgro 188x108x14 (28x17) 1,8 mm A",478,kom,,0,0,
"Džepičasto jezgro 188x128x14 (28x20) 1,8 mm A",479,kom,,0,0,
"Džepičasto jezgro 188x148x14 (28x24) 1,8 mm A",101,kom,,0,0,
